time,open,high,low,close,volume
2026-03-01 00:00:00,1.08500,1.08550,1.08450,1.08520,1250
2026-03-01 00:15:00,1.08520,1.08580,1.08480,1.08550,1180
2026-03-01 00:30:00,1.08550,1.08600,1.08500,1.08570,1320
2026-03-01 00:45:00,1.08570,1.08620,1.08520,1.08590,1290
2026-03-01 01:00:00,1.08590,1.08650,1.08540,1.08610,1410
2026-03-01 01:15:00,1.08610,1.08680,1.08560,1.08630,1380
2026-03-01 01:30:00,1.08630,1.08700,1.08580,1.08650,1450
2026-03-01 01:45:00,1.08650,1.08720,1.08600,1.08680,1520
2026-03-01 02:00:00,1.08680,1.08750,1.08620,1.08710,1680
2026-03-01 02:15:00,1.08710,1.08800,1.08650,1.08750,1850
2026-03-01 02:30:00,1.08750,1.08850,1.08680,1.08800,1920
2026-03-01 02:45:00,1.08800,1.08900,1.08720,1.08850,2100
2026-03-01 03:00:00,1.08850,1.08950,1.08780,1.08900,2250
2026-03-01 03:15:00,1.08900,1.09000,1.08820,1.08950,2380
2026-03-01 03:30:00,1.08950,1.09050,1.08880,1.09000,2450
2026-03-01 03:45:00,1.09000,1.09100,1.08920,1.09050,2520
2026-03-01 04:00:00,1.09050,1.09150,1.08980,1.09100,2680
2026-03-01 04:15:00,1.09100,1.09200,1.09020,1.09150,2750
2026-03-01 04:30:00,1.09150,1.09250,1.09080,1.09200,2820
2026-03-01 04:45:00,1.09200,1.09300,1.09120,1.09250,2890
2026-03-01 05:00:00,1.09250,1.09350,1.09180,1.09300,2950
2026-03-01 05:15:00,1.09300,1.09400,1.09220,1.09350,3010
2026-03-01 05:30:00,1.09350,1.09450,1.09280,1.09400,3080
2026-03-01 05:45:00,1.09400,1.09500,1.09320,1.09450,3150
2026-03-01 06:00:00,1.09450,1.09520,1.09380,1.09480,2950
2026-03-01 06:15:00,1.09480,1.09550,1.09400,1.09500,2680
2026-03-01 06:30:00,1.09500,1.09580,1.09420,1.09520,2450
2026-03-01 06:45:00,1.09520,1.09600,1.09450,1.09550,2320
2026-03-01 07:00:00,1.09550,1.09620,1.09480,1.09580,2180
2026-03-01 07:15:00,1.09580,1.09650,1.09500,1.09600,2050
2026-03-01 07:30:00,1.09600,1.09680,1.09520,1.09620,1920
2026-03-01 07:45:00,1.09620,1.09700,1.09550,1.09650,1880
2026-03-01 08:00:00,1.09650,1.09720,1.09580,1.09680,1850
2026-03-01 08:15:00,1.09680,1.09750,1.09600,1.09700,1820
2026-03-01 08:30:00,1.09700,1.09780,1.09620,1.09720,1790
2026-03-01 08:45:00,1.09720,1.09800,1.09650,1.09750,1750
2026-03-01 09:00:00,1.09750,1.09820,1.09680,1.09780,1720
2026-03-01 09:15:00,1.09780,1.09850,1.09700,1.09800,1680
2026-03-01 09:30:00,1.09800,1.09880,1.09720,1.09820,1650
2026-03-01 09:45:00,1.09820,1.09900,1.09750,1.09850,1620
2026-03-01 10:00:00,1.09850,1.09950,1.09780,1.09900,2580
2026-03-01 10:15:00,1.09900,1.10050,1.09820,1.10000,3250
2026-03-01 10:30:00,1.10000,1.10150,1.09880,1.10100,3680
2026-03-01 10:45:00,1.10100,1.10250,1.09950,1.10200,4120
2026-03-01 11:00:00,1.10200,1.10350,1.10020,1.10300,4550
2026-03-01 11:15:00,1.10300,1.10450,1.10100,1.10400,4980
2026-03-01 11:30:00,1.10400,1.10550,1.10200,1.10500,5410
2026-03-01 11:45:00,1.10500,1.10650,1.10300,1.10600,5840
2026-03-01 12:00:00,1.10600,1.10720,1.10450,1.10650,5250
2026-03-01 12:15:00,1.10650,1.10750,1.10500,1.10680,4680
2026-03-01 12:30:00,1.10680,1.10780,1.10550,1.10700,4250
2026-03-01 12:45:00,1.10700,1.10800,1.10600,1.10720,3920
2026-03-01 13:00:00,1.10720,1.10820,1.10650,1.10750,3650
2026-03-01 13:15:00,1.10750,1.10850,1.10680,1.10780,3420
2026-03-01 13:30:00,1.10780,1.10880,1.10700,1.10800,3250
2026-03-01 13:45:00,1.10800,1.10900,1.10720,1.10820,3080
2026-03-01 14:00:00,1.10820,1.10920,1.10750,1.10850,2950
2026-03-01 14:15:00,1.10850,1.10950,1.10780,1.10880,2820
2026-03-01 14:30:00,1.10880,1.10980,1.10800,1.10900,2720
2026-03-01 14:45:00,1.10900,1.11000,1.10820,1.10920,2650
2026-03-01 15:00:00,1.10920,1.11020,1.10850,1.10950,2580
2026-03-01 15:15:00,1.10950,1.11050,1.10880,1.10980,2520
2026-03-01 15:30:00,1.10980,1.11080,1.10900,1.11000,2480
2026-03-01 15:45:00,1.11000,1.11100,1.10920,1.11020,2450
2026-03-01 16:00:00,1.11020,1.11150,1.10950,1.11100,3850
2026-03-01 16:15:00,1.11100,1.11250,1.11000,1.11200,4650
2026-03-01 16:30:00,1.11200,1.11350,1.11050,1.11300,5280
2026-03-01 16:45:00,1.11300,1.11450,1.11120,1.11400,5950
2026-03-01 17:00:00,1.11400,1.11550,1.11200,1.11500,6520
2026-03-01 17:15:00,1.11500,1.11650,1.11300,1.11600,7150
2026-03-01 17:30:00,1.11600,1.11750,1.11400,1.11700,7780
2026-03-01 17:45:00,1.11700,1.11850,1.11500,1.11800,8410
2026-03-01 18:00:00,1.11800,1.11900,1.11650,1.11850,7250
2026-03-01 18:15:00,1.11850,1.11920,1.11700,1.11880,6150
2026-03-01 18:30:00,1.11880,1.11950,1.11750,1.11900,5250
2026-03-01 18:45:00,1.11900,1.11980,1.11800,1.11920,4550
2026-03-01 19:00:00,1.11920,1.12000,1.11850,1.11950,4050
2026-03-01 19:15:00,1.11950,1.12020,1.11880,1.11980,3650
2026-03-01 19:30:00,1.11980,1.12050,1.11900,1.12000,3350
2026-03-01 19:45:00,1.12000,1.12080,1.11920,1.12020,3120
2026-03-01 20:00:00,1.12020,1.12100,1.11950,1.12050,2950
2026-03-01 20:15:00,1.12050,1.12120,1.11980,1.12080,2820
2026-03-01 20:30:00,1.12080,1.12150,1.12000,1.12100,2720
2026-03-01 20:45:00,1.12100,1.12180,1.12020,1.12120,2650
2026-03-01 21:00:00,1.12120,1.12200,1.12050,1.12150,2580
2026-03-01 21:15:00,1.12150,1.12220,1.12080,1.12180,2520
2026-03-01 21:30:00,1.12180,1.12250,1.12100,1.12200,2480
2026-03-01 21:45:00,1.12200,1.12280,1.12120,1.12220,2450
2026-03-01 22:00:00,1.12220,1.12300,1.12150,1.12250,2420
2026-03-01 22:15:00,1.12250,1.12320,1.12180,1.12280,2380
2026-03-01 22:30:00,1.12280,1.12350,1.12200,1.12300,2350
2026-03-01 22:45:00,1.12300,1.12380,1.12220,1.12320,2320
2026-03-01 23:00:00,1.12320,1.12400,1.12250,1.12350,2290
2026-03-01 23:15:00,1.12350,1.12420,1.12280,1.12380,2260
2026-03-01 23:30:00,1.12380,1.12450,1.12300,1.12400,2230
2026-03-01 23:45:00,1.12400,1.12480,1.12320,1.12420,2200
